Cell	group	barcodeSequences	mtCoverage
TF_120_S120	g01	17	153.92
TF_177_S177	g01	15	2951.47
TF_183_S183	g01	40	3148.76
TF_293_S293	g01	13	2636.74
TF_308_S308	g01	22	3116.32
TF_358_S358	g01	31	1011.84
TF_58_S58	g01	12	3750.17
TF_06_S6	g02	1	1277.45
TF_105_S105	g02	14	2260.33
TF_125_S125	g02	11	2484.31
TF_128_S128	g02	6	2115.46
TF_148_S148	g02	5	1220
TF_162_S162	g02	32	800.3
TF_182_S182	g02	15	2127.69
TF_188_S188	g02	11	1494.58
TF_201_S201	g02	14	2431.17
TF_219_S219	g02	3	3245.63
TF_227_S227	g02	14	2378.83
TF_231_S231	g02	15	2786.39
TF_255_S255	g02	19	1668.39
TF_261_S261	g02	11	1985.5
TF_267_S267	g02	2	2791.91
TF_282_S282	g02	17	1610.25
TF_306_S306	g02	5	2445.22
TF_307_S307	g02	7	2528.99
TF_309_S309	g02	16	2781.46
TF_323_S323	g02	9	1901.5
TF_329_S329	g02	10	2211.33
TF_340_S340	g02	13	1687.29
TF_343_S343	g02	8	2513.92
TF_36_S36	g02	14	2352.77
TF_367_S367	g02	27	1661
TF_40_S40	g02	2	2333.64
TF_77_S77	g02	5	1275.63
TF_87_S87	g02	6	2167.59
TF_160_S160	g03	4	2293.67
TF_179_S179	g03	3	3103.35
TF_203_S203	g03	8	3533.55
TF_249_S249	g03	5	2610.38
TF_25_S25	g03	6	1955.18
TF_26_S26	g03	7	1268.43
TF_291_S291	g03	3	1806.04
TF_304_S304	g03	5	1600.23
TF_325_S325	g03	8	2748.39
TF_53_S53	g03	5	1295.06
TF_62_S62	g03	5	2119.65
TF_81_S81	g03	3	2254.84
TF_108_S108	g04	14	2676.7
TF_122_S122	g04	14	824.54
TF_161_S161	g04	25	2786.24
TF_186_S186	g04	16	3985.44
TF_202_S202	g04	3	2101.11
TF_204_S204	g04	15	3194.67
TF_208_S208	g04	5	3304.74
TF_236_S236	g04	6	2904.55
TF_237_S237	g04	3	3343.36
TF_270_S270	g04	9	406.04
TF_278_S278	g04	22	2957.53
TF_28_S28	g04	5	2742.34
TF_296_S296	g04	13	2582.74
TF_300_S300	g04	18	2669.38
TF_305_S305	g04	13	2602.37
TF_315_S315	g04	12	1964.07
TF_321_S321	g04	21	2348.31
TF_326_S326	g04	10	2907.95
TF_337_S337	g04	10	2621.64
TF_345_S345	g04	4	2782.54
TF_348_S348	g04	10	2776.23
TF_364_S364	g04	9	2316.73
TF_37_S37	g04	14	1969.41
TF_376_S376	g04	12	683.25
TF_57_S57	g04	17	3170.53
TF_67_S67	g04	5	1888.38
TF_83_S83	g04	4	1757.02
TF_92_S92	g04	7	1810.77
TF_94_S94	g04	16	2705.33
TF_02_S2	g05	13	2142.28
TF_106_S106	g05	12	2742.75
TF_12_S12	g05	5	2353.87
TF_137_S137	g05	8	1874.66
TF_155_S155	g05	20	1937.46
TF_16_S16	g05	3	1866.55
TF_176_S176	g05	22	2387.72
TF_18_S18	g05	17	3451.35
TF_181_S181	g05	9	3147.07
TF_200_S200	g05	3	1079.45
TF_207_S207	g05	5	2301.43
TF_256_S256	g05	10	3282.58
TF_271_S271	g05	7	3122.49
TF_324_S324	g05	10	2385.18
TF_333_S333	g05	9	2644.23
TF_362_S362	g05	12	2502.67
TF_363_S363	g05	7	2579.48
TF_43_S43	g05	13	2165.68
TF_50_S50	g05	8	2010.96
TF_73_S73	g05	3	1836.27
TF_79_S79	g05	5	1778.1
TF_08_S8	g06	6	1933.36
TF_107_S107	g06	8	4426.32
TF_13_S13	g06	1	1700.32
TF_136_S136	g06	4	1978.19
TF_139_S139	g06	10	925.36
TF_17_S17	g06	3	1740.77
TF_190_S190	g06	7	2190.8
TF_191_S191	g06	12	2957.8
TF_217_S217	g06	11	2827.17
TF_243_S243	g06	11	2936.13
TF_290_S290	g06	6	2249.36
TF_322_S322	g06	1	3024.51
TF_327_S327	g06	2	2399.89
TF_328_S328	g06	12	1059.37
TF_331_S331	g06	2	2052.75
TF_34_S34	g06	6	2026.82
TF_346_S346	g06	10	1763.52
TF_365_S365	g06	5	1792.99
TF_46_S46	g06	7	1512.65
TF_69_S69	g06	10	1639.84
TF_70_S70	g06	10	3420.52
TF_91_S91	g06	6	1571.1
TF_11_S11	g07	22	1667.04
TF_114_S114	g07	30	4458.5
TF_118_S118	g07	16	4233.03
TF_138_S138	g07	15	2751.31
TF_157_S157	g07	5	2961.14
TF_165_S165	g07	7	2895.17
TF_170_S170	g07	4	2985.46
TF_174_S174	g07	15	2254.54
TF_19_S19	g07	11	2149.53
TF_199_S199	g07	6	3161.83
TF_23_S23	g07	7	3374.28
TF_250_S250	g07	3	538.22
TF_264_S264	g07	1	4215.97
TF_285_S285	g07	8	1934.71
TF_339_S339	g07	6	2062.77
TF_88_S88	g07	9	1386.97
TF_99_S99	g07	18	3623.42
TF_198_S198	g08	1	3232.99
TF_211_S211	g08	5	3533.77
TF_252_S252	g08	5	3180.7
TF_30_S30	g08	1	2832.92
TF_38_S38	g08	1	2152.13
TF_49_S49	g08	3	2428.22
TF_100_S100	g09	6	2366.36
TF_103_S103	g09	12	3146.7
TF_121_S121	g09	26	3162.24
TF_205_S205	g09	10	3188.52
TF_244_S244	g09	5	2882.89
TF_253_S253	g09	10	2666.09
TF_257_S257	g09	9	2372.42
TF_284_S284	g09	15	2561
TF_301_S301	g09	5	1636.81
TF_335_S335	g09	7	2098.09
TF_104_S104	g10	7	2689.01
TF_195_S195	g10	1	3457.87
TF_42_S42	g10	7	971.68
TF_85_S85	g10	4	1755.38
TF_152_S152	g11	12	4539.49
TF_310_S310	g11	5	3192.29
TF_20_S20	unassigned	1	2133.27
TF_214_S214	unassigned	12	3176.35
TF_380_S380	unassigned	1	2431.57
TF_167_S167	NA	NA	204.42
TF_216_S216	NA	NA	0.17
TF_242_S242	NA	NA	5.39
TF_15_S15	NA	NA	0.14
TF_350_S350	NA	NA	2555.29
TF_297_S297	NA	NA	1989.19
TF_153_S153	NA	NA	2667.01
TF_361_S361	NA	NA	1897.04
TF_274_S274	NA	NA	0.59
TF_316_S316	NA	NA	2042.22
TF_59_S59	NA	NA	2222.88
TF_299_S299	NA	NA	163.54
TF_235_S235	NA	NA	1610.07
TF_277_S277	NA	NA	0.16
TF_266_S266	NA	NA	2331.51
TF_254_S254	NA	NA	0.13
TF_90_S90	NA	NA	83.3
TF_133_S133	NA	NA	807.01
TF_263_S263	NA	NA	0.07
TF_61_S61	NA	NA	2010.69
TF_60_S60	NA	NA	0.1
TF_286_S286	NA	NA	274.08
TF_232_S232	NA	NA	3.77
TF_145_S145	NA	NA	0.51
TF_115_S115	NA	NA	0.15
TF_196_S196	NA	NA	3216.91
TF_228_S228	NA	NA	0.13
TF_169_S169	NA	NA	285.67
TF_71_S71	NA	NA	2319.24
TF_366_S366	NA	NA	78.82
TF_381_S381	NA	NA	27.73
TF_248_S248	NA	NA	0.18
TF_360_S360	NA	NA	32.47
TF_212_S212	NA	NA	0.06
TF_240_S240	NA	NA	0.68
TF_276_S276	NA	NA	1.34
TF_209_S209	NA	NA	3114.82
TF_351_S351	NA	NA	2272.84
TF_319_S319	NA	NA	2080.5
TF_143_S143	NA	NA	2183.34
TF_383_S383	NA	NA	145.13
TF_273_S273	NA	NA	750.39
TF_80_S80	NA	NA	1007.04
TF_378_S378	NA	NA	1124.38
TF_342_S342	NA	NA	2209.82
TF_187_S187	NA	NA	176.61
TF_229_S229	NA	NA	2876.69
TF_194_S194	NA	NA	2983.32
TF_280_S280	NA	NA	0.33
TF_314_S314	NA	NA	705.47
TF_52_S52	NA	NA	0.42
TF_241_S241	NA	NA	0.09
TF_132_S132	NA	NA	0.06
TF_292_S292	NA	NA	2528.59
TF_151_S151	NA	NA	2567.67
TF_154_S154	NA	NA	2024.09
TF_295_S295	NA	NA	2479.42
TF_163_S163	NA	NA	1913.06
TF_78_S78	NA	NA	13.44
TF_05_S5	NA	NA	0.2
TF_281_S281	NA	NA	9.13
TF_113_S113	NA	NA	0.09
TF_39_S39	NA	NA	2335.21
TF_269_S269	NA	NA	3417.29
TF_41_S41	NA	NA	2127.73
TF_63_S63	NA	NA	0.12
TF_239_S239	NA	NA	25.38
TF_03_S3	NA	NA	0.12
TF_56_S56	NA	NA	1872.49
TF_171_S171	NA	NA	2581.29
TF_04_S4	NA	NA	2912.3
